品牌,车系,别名,频次,单匹
保时捷,Panamera [帕纳美拉],PANAMERA,67,1
保时捷,Panamera [帕纳美拉],帕纳美拉,67,1
全球鹰,GC7,GC7,105,0
全球鹰,GX7,GX7,163,0
全球鹰,熊猫,熊猫,121,1
全球鹰,自由舰,自由舰,138,1
全球鹰,远景,远景,164,1
凯翼,C3,C3,53,0
凯迪拉克,ATS,ATS,300,0
凯迪拉克,CT5,CT5,109,0
凯迪拉克,CT6,CT6,80,0
凯迪拉克,SRX,SRX,214,0
凯迪拉克,XT4,XT4,148,0
凯迪拉克,XT5,XT5,233,0
凯迪拉克,XTS,XTS,307,0
别克,Enclave [昂科雷],ENCLAVE,56,1
别克,Enclave [昂科雷],昂科雷,56,1
别克,GL6,GL6,134,0
别克,GL8,GL8,1229,0
别克,凯越,凯越,4662,1
别克,君威,君威,2158,1
别克,君越,君越,1688,1
别克,威朗,威朗,795,1
别克,微蓝(VELITE),VELITE,51,1
别克,微蓝(VELITE),微蓝,51,1
别克,昂科威,昂科威,1223,1
别克,昂科拉,昂科拉,865,1
别克,英朗,英朗,4845,1
别克,阅朗,阅朗,52,1
力帆,320,320,65,0
力帆,620,620,76,0
力帆,X60,X60,64,0
力帆,迈威,迈威,59,1
北京,BJ40,BJ40,174,0
北京,EC,EC,55,0
北京,E系列,E系列,320,1
华泰,圣达菲,圣达菲,121,1
吉利,GX7,GX7,225,0
吉利,icon,ICON,53,0
吉利,博瑞,博瑞,298,1
吉利,博越,博越,880,1
吉利,嘉际,嘉际,79,1
吉利,帝豪,帝豪,1498,1
吉利,帝豪GL,帝豪GL,276,1
吉利,帝豪GS,帝豪GS,476,1
吉利,星瑞,星瑞,68,1
吉利,星越,星越,73,1
吉利,熊猫MINI,熊猫MINI,86,1
吉利,缤瑞,缤瑞,136,1
吉利,缤越,缤越,178,1
吉利,自由舰,自由舰,63,1
吉利,远景,远景,782,1
吉利,远景S1,远景S1,71,1
吉利,远景SUV(X6),X6,312,1
吉利,远景SUV(X6),远景SUV,312,1
吉利,远景X1,远景X1,60,1
吉利,远景X3,远景X3,279,1
吉利,金刚,金刚,239,1
启辰,D50,D50,350,0
启辰,D60,D60,121,0
启辰,R50,R50,317,0
启辰,T70,T70,253,0
启辰,T90,T90,87,0
哈弗,F7,F7,160,0
哈弗,H1,H1,312,0
哈弗,H2,H2,1041,0
哈弗,H4,H4,58,0
哈弗,H5,H5,215,0
哈弗,H6,H6,4600,0
哈弗,H7,H7,235,0
哈弗,H8,H8,50,0
哈弗,H9,H9,112,0
哈弗,M6,M6,400,0
哈弗,大狗,大狗,171,1
哪吒,N01,N01,62,0
哪吒,哪吒V,哪吒V,110,1
坦克,坦克300,坦克300,112,1
坦克,坦克700,坦克700,173,1
夏利,夏利,夏利,567,1
大众,Beetle [甲壳虫],BEETLE,188,1
大众,Beetle [甲壳虫],甲壳虫,188,1
大众,C-TREK(蔚领),C-TREK,145,1
大众,C-TREK(蔚领),蔚领,145,1
大众,CC,CC,621,0
大众,Golf [高尔夫],GOLF,97,1
大众,Golf [高尔夫],高尔夫,97,1
大众,ID.3,ID.3,65,0
大众,Magotan [迈腾],MAGOTAN,81,1
大众,Magotan [迈腾],迈腾,81,1
大众,POLO,POLO,3723,0
大众,Phaeton [辉腾],PHAETON,68,1
大众,Phaeton [辉腾],辉腾,68,1
大众,Scirocco [尚酷],SCIROCCO,90,1
大众,Scirocco [尚酷],尚酷,90,1
大众,Sharan [夏朗],SHARAN,103,1
大众,Sharan [夏朗],夏朗,103,1
大众,T-Cross(途铠),T-CROSS,102,1
大众,T-Cross(途铠),途铠,102,1
大众,Tiguan [途欢],TIGUAN,158,1
大众,Tiguan [途欢],途欢,158,1
大众,Touareg [途锐],TOUAREG,195,1
大众,Touareg [途锐],途锐,195,1
大众,凌渡,凌渡,959,1
大众,宝来,宝来,5100,1
大众,帕萨特,帕萨特,3229,1
大众,捷达,捷达,3592,1
大众,探岳,探岳,485,1
大众,探歌,探歌,330,1
大众,朗行,朗行,614,1
大众,朗逸,朗逸,6186,1
大众,桑塔纳,桑塔纳,2454,1
大众,辉昂,辉昂,59,1
大众,迈腾,迈腾,3571,1
大众,途安,途安,550,1
大众,途岳,途岳,205,1
大众,途昂,途昂,286,1
大众,途观,途观,3489,1
大众,速腾,速腾,5334,1
大众,高尔夫,高尔夫,3173,1
大通,G10,G10,60,0
大通,G50,G50,55,0
奇瑞,A3,A3,146,0
奇瑞,A5,A5,56,0
奇瑞,E3,E3,256,0
奇瑞,E5,E5,181,0
奇瑞,QQ,QQ,343,0
奇瑞,QQ冰淇淋,QQ冰淇淋,72,1
奇瑞,eQ1(小蚂蚁),EQ1,209,1
奇瑞,eQ1(小蚂蚁),小蚂蚁,209,1
奇瑞,旗云,旗云,299,1
奇瑞,瑞虎,瑞虎,1755,1
奇瑞,艾瑞泽,艾瑞泽,616,1
奇瑞,风云2,风云2,425,1
奔腾,B30,B30,100,0
奔腾,B50,B50,1032,0
奔腾,B70,B70,459,0
奔腾,T77,T77,68,0
奔腾,X40,X40,156,0
奔腾,X80,X80,431,0
奔驰,A-Class AMG [A级 AMG],A-CLASS AMG,53,0
奔驰,A-Class AMG [A级 AMG],A级 AMG,53,0
奔驰,A-Class [A级],A-CLASS,230,0
奔驰,A-Class [A级],A级,230,0
奔驰,A级,A级,1067,0
奔驰,A级 AMG,A级 AMG,84,0
奔驰,A级 AMG,A级AMG,84,0
奔驰,B-Class [B级],B-CLASS,472,0
奔驰,B-Class [B级],B级,472,0
奔驰,C-Class [C级],C-CLASS,284,0
奔驰,C-Class [C级],C级,284,0
奔驰,CLA-Class [CLA级],CLA-CLASS,432,0
奔驰,CLA-Class [CLA级],CLA级,432,0
奔驰,CLS-Class [CLS级],CLS-CLASS,122,0
奔驰,CLS-Class [CLS级],CLS级,122,0
奔驰,C级,C级,4042,0
奔驰,E-Class [E级],E-CLASS,335,0
奔驰,E-Class [E级],E级,335,0
奔驰,EQA,EQA,103,0
奔驰,EQB,EQB,128,0
奔驰,EQC,EQC,96,0
奔驰,EQE,EQE,123,0
奔驰,EQE SUV,EQE SUV,90,0
奔驰,EQE SUV,EQESUV,90,0
奔驰,EQS,EQS,59,0
奔驰,E级,E级,3159,0
奔驰,G-Class [G级],G-CLASS,54,0
奔驰,G-Class [G级],G级,54,0
奔驰,GLA级,GLA级,1008,0
奔驰,GLB级,GLB级,757,0
奔驰,GLC-Class [GLC级],GLC-CLASS,122,0
奔驰,GLC-Class [GLC级],GLC级,122,0
奔驰,GLC级,GLC级,1892,0
奔驰,GLE,GLE,373,0
奔驰,GLK-Class [GLK级],GLK-CLASS,95,0
奔驰,GLK-Class [GLK级],GLK级,95,0
奔驰,GLK级,GLK级,393,0
奔驰,GLS-Class [GLS级],GLS-CLASS,102,0
奔驰,GLS-Class [GLS级],GLS级,102,0
奔驰,M-Class [M级],M-CLASS,238,0
奔驰,M-Class [M级],M级,238,0
奔驰,Maybach S-Class [迈巴赫S级],MAYBACH S-CLASS,51,1
奔驰,Maybach S-Class [迈巴赫S级],迈巴赫S级,51,1
奔驰,R-Class [R级],R-CLASS,210,0
奔驰,R-Class [R级],R级,210,0
奔驰,S-Class [S级],S-CLASS,494,0
奔驰,S-Class [S级],S级,494,0
奔驰,V级,V级,175,0
奔驰,威霆,威霆,177,1
奥迪,A1,A1,82,0
奥迪,A3,A3,1653,0
奥迪,A4,A4,3064,0
奥迪,A5,A5,233,0
奥迪,A6,A6,4033,0
奥迪,A7,A7,110,0
奥迪,A8,A8,408,0
奥迪,Q2,Q2,482,0
奥迪,Q3,Q3,1333,0
奥迪,Q4 e-tron,Q4 E-TRON,104,0
奥迪,Q4 e-tron,Q4ETRON,104,0
奥迪,Q5,Q5,2077,0
奥迪,Q7,Q7,442,0
威旺,306,306,196,0
威旺,M20,M20,371,0
宝沃,BX7,BX7,61,0
宝马,1 Series [1系],1 SERIES,375,0
宝马,1 Series [1系],1系,375,0
宝马,1系,1系,714,0
宝马,2 Series [2系],2 SERIES,174,0
宝马,2 Series [2系],2系,174,0
宝马,2系,2系,145,0
宝马,3 Series [3系],3 SERIES,1425,0
宝马,3 Series [3系],3系,1425,0
宝马,3系,3系,1426,0
宝马,4 Series [4系],4 SERIES,112,0
宝马,4 Series [4系],4系,112,0
宝马,5 Series [5系],5 SERIES,199,0
宝马,5 Series [5系],5系,199,0
宝马,5系,5系,2700,0
宝马,6 Series [6系],6 SERIES,78,0
宝马,6 Series [6系],6系,78,0
宝马,7 Series [7系],7 SERIES,394,0
宝马,7 Series [7系],7系,394,0
宝马,M Series [M系],M SERIES,207,0
宝马,M Series [M系],M系,207,0
宝马,X1,X1,1559,0
宝马,X2,X2,180,0
宝马,X3,X3,787,0
宝马,X4,X4,94,0
宝马,X5,X5|X-5|x5,621,0
宝马,X6,X6,143,0
宝马,i3,I3,121,0
宝马,iX3,IX3,106,0
宝骏,310,310,378,0
宝骏,360,360,74,0
宝骏,510,510,580,0
宝骏,530,530,118,0
宝骏,560,560,652,0
宝骏,630,630,299,0
宝骏,730,730,1110,0
宝骏,乐驰,乐驰,113,1
小鹏,P7,P7,81,0
岚图,FREE,FREE,283,0
岚图,梦想家,梦想家,291,1
岚图,知音,知音,55,1
岚图,追光,追光,182,1
帝豪,EC7,EC7,637,0
幻速,H2,H2,83,0
幻速,H3,H3,64,0
幻速,S2,S2,70,0
幻速,S3,S3,384,0
幻速,S6,S6,84,0
广汽埃安,Aion,AION,137,0
开瑞,K50,K50,103,0
开瑞,优优,优优,77,1
思铭,思铭,思铭,105,1
捷豹,F-PACE,F-PACE,151,0
捷豹,F-PACE,FPACE,151,0
捷豹,XE,XE,162,0
捷豹,XF,XF,278,0
捷达,捷达VS5,捷达VS5,120,1
捷达,捷达VS7,捷达VS7,57,1
捷途,X70,X70,79,0
斯威,X7,X7,61,0
斯巴鲁,Forester [森林人],FORESTER,648,1
斯巴鲁,Forester [森林人],森林人,648,1
斯巴鲁,Outback [傲虎],OUTBACK,203,1
斯巴鲁,Outback [傲虎],傲虎,203,1
斯巴鲁,XV,XV,114,0
斯柯达,Yeti,YETI,108,0
斯柯达,昊锐,昊锐,346,1
斯柯达,明锐,明锐,2559,1
斯柯达,昕动,昕动,138,1
斯柯达,昕锐,昕锐,451,1
斯柯达,晶锐,晶锐,575,1
斯柯达,柯珞克,柯珞克,54,1
斯柯达,柯米克,柯米克,81,1
斯柯达,柯迪亚克,柯迪亚克,129,1
斯柯达,速派,速派,292,1
日产,NV200,NV200,139,0
日产,Patrol [途乐],PATROL,85,1
日产,Patrol [途乐],途乐,85,1
日产,劲客,劲客,146,1
日产,天籁,天籁,3040,1
日产,奇骏,奇骏,1879,1
日产,楼兰,楼兰,194,1
日产,玛驰,玛驰,77,1
日产,蓝鸟,蓝鸟,435,1
日产,轩逸,轩逸,6696,1
日产,逍客,逍客,2514,1
日产,阳光,阳光,1635,1
日产,颐达,颐达,736,1
日产,骊威,骊威,1290,1
日产,骐达,骐达,2435,1
昌河,福瑞达,福瑞达,137,1
本田,CR-V,CR-V,3459,0
本田,CR-V,CRV,3459,0
本田,INSPIRE(英仕派),INSPIRE,302,1
本田,INSPIRE(英仕派),英仕派,302,1
本田,LIFE,LIFE,54,0
本田,UR-V,UR-V,161,0
本田,UR-V,URV,161,0
本田,XR-V,XR-V,1188,0
本田,XR-V,XRV,1188,0
本田,享域,享域,139,1
本田,冠道,冠道,415,1
本田,凌派,凌派,1577,1
本田,哥瑞,哥瑞,156,1
本田,型格,型格,130,1
本田,奥德赛,奥德赛,1031,1
本田,思域,思域,3196,1
本田,思迪,思迪,242,1
本田,思铂睿,思铂睿,328,1
本田,杰德,杰德,476,1
本田,歌诗图,歌诗图,210,1
本田,皓影,皓影,334,1
本田,竞瑞,竞瑞,62,1
本田,缤智,缤智,1315,1
本田,艾力绅,艾力绅,329,1
本田,锋范,锋范,1848,1
本田,雅阁,雅阁,4378,1
本田,飞度,飞度,2355,1
林肯,MKC,MKC,76,0
林肯,MKZ,MKZ,59,0
标致,2008,2008,335,0
标致,206,206,68,0
标致,207,207,451,0
标致,3008,3008,793,0
标致,301,301,591,0
标致,307,307,937,0
标致,308,308,1587,0
标致,4008,4008,142,0
标致,408,408,1740,0
标致,5008,5008,106,0
标致,508,508,328,0
欧尚,X5,X5,59,0
欧尚,X7,X7,53,0
欧拉,R1(黑猫),R1,157,1
欧拉,R1(黑猫),黑猫,157,1
欧拉,好猫,好猫,120,1
比亚迪,F0,F0,407,0
比亚迪,F3,F3,1623,0
比亚迪,F6,F6,95,0
比亚迪,G3,G3,153,0
比亚迪,G6,G6,104,0
比亚迪,L3,L3,457,0
比亚迪,S6,S6,559,0
比亚迪,S7,S7,178,0
比亚迪,元,元,215,0
比亚迪,唐,唐,212,0
比亚迪,宋,宋,703,0
比亚迪,汉,汉,110,0
比亚迪,海豚,海豚,165,1
比亚迪,海鸥,海鸥,101,1
比亚迪,秦,秦,368,0
比亚迪,速锐,速锐,478,1
汉腾,X7,X7,51,0
江淮,iEV,IEV,67,0
江淮,同悦,同悦,125,1
江淮,和悦,和悦,451,1
江淮,瑞风,瑞风,1311,1
江铃,宝典,宝典,188,1
沃尔沃,S40,S40,90,0
沃尔沃,S60,S60,748,0
沃尔沃,S80,S80,117,0
沃尔沃,S90,S90,922,0
沃尔沃,V40,V40,146,0
沃尔沃,V60,V60,107,0
沃尔沃,V90,V90,66,0
沃尔沃,XC40,XC40,160,0
沃尔沃,XC60,XC60,1227,0
沃尔沃,XC90,XC90,245,0
海马,M3,M3,358,0
海马,M6,M6,77,0
海马,S5,S5,398,0
海马,S7,S7,237,0
海马,丘比特,丘比特,152,1
海马,普力马,普力马,200,1
海马,海福星,海福星,260,1
海马,福仕达,福仕达,53,1
海马,福美来,福美来,932,1
海马,骑士,骑士,127,1
特斯拉,Model 3,MODEL 3,186,1
特斯拉,Model 3,MODEL3,186,1
特斯拉,Model Y,MODEL Y,273,1
特斯拉,Model Y,MODELY,273,1
猎豹,CS10,CS10,412,0
猎豹,CS9,CS9,101,0
猎豹,黑金刚,黑金刚,56,1
现代,Santa Fe [胜达],SANTA FE,159,1
现代,Santa Fe [胜达],胜达,159,1
现代,i30,I30,63,0
现代,ix25,IX25,379,0
现代,ix35,IX35,1669,0
现代,伊兰特,伊兰特,5333,1
现代,名图,名图,973,1
现代,名驭,名驭,82,1
现代,悦纳,悦纳,194,1
现代,瑞奕,瑞奕,125,1
现代,瑞纳,瑞纳,1883,1
现代,索纳塔,索纳塔,1026,1
现代,胜达,胜达,475,1
现代,菲斯塔,菲斯塔,161,1
现代,途胜,途胜,1072,1
现代,雅绅特,雅绅特,252,1
理念,S1,S1,173,0
理想,ONE,ONE,78,0
福特,Edge [锐界],EDGE,161,1
福特,Edge [锐界],锐界,161,1
福特,Explorer [探险者],EXPLORER,87,1
福特,Explorer [探险者],探险者,87,1
福特,全顺,全顺,160,1
福特,嘉年华,嘉年华,902,1
福特,福克斯,福克斯,6548,1
福特,福睿斯,福睿斯,1565,1
福特,翼搏,翼搏,666,1
福特,翼虎,翼虎,1091,1
福特,蒙迪欧,蒙迪欧,1924,1
福特,金牛座,金牛座,104,1
福特,锐界,锐界,426,1
福特,领界,领界,80,1
红旗,H5,H5,297,0
红旗,HS5,HS5,297,0
纳智捷,优6 SUV,优6 SUV,291,0
纳智捷,优6 SUV,优6SUV,291,0
纳智捷,大7 SUV,大7 SUV,152,0
纳智捷,大7 SUV,大7SUV,152,0
绅宝,D20,D20,82,0
绅宝,D50,D50,161,0
绅宝,X25,X25,120,0
绅宝,X35,X35,95,0
绅宝,X65,X65,57,0
英伦,SC7(海景),SC7,199,1
英伦,SC7(海景),海景,199,1
英伦,金刚,金刚,287,1
英菲尼迪,Q50,Q50,137,0
英菲尼迪,QX50,QX50,167,0
荣威,350,350,1057,0
荣威,360,360,218,0
荣威,550,550,504,0
荣威,RX3,RX3,83,0
荣威,RX5,RX5,665,0
荣威,W5,W5,84,0
荣威,i5,I5,263,0
荣威,i6,I6,159,0
荣威,科莱威,科莱威,74,1
菲亚特,致悦,致悦,87,1
菲亚特,菲翔,菲翔,472,1
观致,观致3,观致3,87,1
起亚,Carens [佳乐],CARENS,163,1
起亚,Carens [佳乐],佳乐,163,1
起亚,K2,K2,1495,0
起亚,K3,K3,1415,0
起亚,K4,K4,184,0
起亚,K5,K5,521,0
起亚,KX,KX,81,0
起亚,KX3(傲跑),KX3,161,1
起亚,KX3(傲跑),傲跑,161,1
起亚,KX5,KX5,114,0
起亚,Sorento [索兰托],SORENTO,204,1
起亚,Sorento [索兰托],索兰托,204,1
起亚,千里马,千里马,89,1
起亚,奕跑,奕跑,91,1
起亚,智跑,智跑,1056,1
起亚,焕驰,焕驰,75,1
起亚,狮跑,狮跑,637,1
起亚,福瑞迪,福瑞迪,872,1
起亚,秀尔,秀尔,121,1
起亚,赛拉图,赛拉图,828,1
起亚,锐欧,锐欧,192,1
路虎,Defender [卫士],DEFENDER,194,1
路虎,Defender [卫士],卫士,194,1
路虎,Discovery [发现],DISCOVERY,209,1
路虎,Discovery [发现],发现,209,1
路虎,Freelander [神行者],FREELANDER,206,1
路虎,Freelander [神行者],神行者,206,1
路虎,Range Rover Evoque [揽胜极光],RANGE ROVER EVOQUE,108,1
路虎,Range Rover Evoque [揽胜极光],揽胜极光,108,1
路虎,Range Rover Sport [揽胜运动版],RANGE ROVER SPORT,253,1
路虎,Range Rover Sport [揽胜运动版],揽胜运动版,253,1
路虎,Range Rover Velar [揽胜星脉],RANGE ROVER VELAR,101,1
路虎,Range Rover Velar [揽胜星脉],揽胜星脉,101,1
路虎,Range Rover [揽胜],RANGE ROVER,229,1
路虎,Range Rover [揽胜],揽胜,229,1
路虎,发现神行,发现神行,275,1
路虎,发现运动版,发现运动版,251,1
路虎,揽胜极光,揽胜极光,342,1
道奇,Journey [酷威],JOURNEY,167,1
道奇,Journey [酷威],酷威,167,1
野马,T70,T70,84,0
金杯,小海狮,小海狮,80,1
金杯,智尚,智尚,81,1
金杯,海狮,海狮,165,1
铃木,利亚纳,利亚纳,215,1
铃木,北斗星,北斗星,658,1
铃木,启悦,启悦,98,1
铃木,天语SX4,天语SX4,599,1
铃木,天语·尚悦,天语·尚悦,88,1
铃木,奥拓,奥拓,570,1
铃木,维特拉,维特拉,102,1
铃木,羚羊,羚羊,219,1
铃木,锋驭,锋驭,153,1
铃木,雨燕,雨燕,695,1
长城,C20R,C20R,50,0
长城,C30,C30,989,0
长城,C50,C50,324,0
长城,M2,M2,54,0
长城,M4,M4,301,0
长城,哈弗H3,哈弗H3,118,1
长城,哈弗H5,哈弗H5,144,1
长城,哈弗H6,哈弗H6,479,1
长城,哈弗M2,哈弗M2,53,1
长城,哈弗M4,哈弗M4,499,1
长城,炫丽,炫丽,131,1
长城,炮,炮,135,0
长城,风骏,风骏,507,1
长安,CS15,CS15,151,0
长安,CS35,CS35,1262,0
长安,CS55,CS55,260,0
长安,CS75,CS75,1146,0
长安,CS85,CS85,67,0
长安,CX20,CX20,373,0
长安,CX30,CX30,57,0
长安,Lumin,LUMIN,104,0
长安,UNI-T,UNI-T,89,0
长安,UNI-T,UNIT,89,0
长安,奔奔,奔奔,556,1
长安,悦翔,悦翔,1169,1
长安,睿骋,睿骋,74,1
长安,致尚,致尚,218,1
长安,逸动,逸动,1309,1
长安凯程,欧诺,欧诺,67,1
长安凯程,长安之星,长安之星,76,1
长安商用,CX70,CX70,107,0
长安商用,星光,星光,85,1
长安商用,欧力威,欧力威,143,1
长安商用,欧尚,欧尚,210,1
长安商用,欧诺,欧诺,727,1
长安商用,睿行,睿行,92,1
长安商用,金牛星,金牛星,234,1
长安商用,长安之星,长安之星,1163,1
陆风,X5,X5,178,0
陆风,X7,X7,160,0
陆风,X8,X8,76,0
雪佛兰,Captiva [科帕奇],CAPTIVA,75,1
雪佛兰,Captiva [科帕奇],科帕奇,75,1
雪佛兰,乐风,乐风,575,1
雪佛兰,乐驰,乐驰,195,1
雪佛兰,乐骋,乐骋,86,1
雪佛兰,创酷,创酷,368,1
雪佛兰,探界者,探界者,174,1
雪佛兰,景程,景程,483,1
雪佛兰,爱唯欧,爱唯欧,335,1
雪佛兰,科帕奇,科帕奇,302,1
雪佛兰,科沃兹,科沃兹,681,1
雪佛兰,科鲁兹,科鲁兹,4161,1
雪佛兰,科鲁泽,科鲁泽,361,1
雪佛兰,赛欧,赛欧,2637,1
雪佛兰,迈锐宝,迈锐宝,1530,1
雪铁龙,C2,C2,170,0
雪铁龙,C3-XR,C3-XR,358,0
雪铁龙,C3-XR,C3XR,358,0
雪铁龙,C4,C4,695,0
雪铁龙,C4世嘉,C4世嘉,134,1
雪铁龙,C5,C5,575,0
雪铁龙,世嘉,世嘉,1977,1
雪铁龙,凯旋,凯旋,71,1
雪铁龙,天逸,天逸,76,1
雪铁龙,富康,富康,80,1
雪铁龙,爱丽舍,爱丽舍,1077,1
零跑,T03,T03,126,0
雷克萨斯,CT,CT,415,0
雷克萨斯,ES,ES,3203,0
雷克萨斯,GS,GS,94,0
雷克萨斯,IS,IS,205,0
雷克萨斯,LS,LS,120,0
雷克萨斯,NX,NX,960,0
雷克萨斯,RX,RX,1292,0
雷克萨斯,RZ,RZ,188,0
雷克萨斯,UX,UX,287,0
雷诺,Koleos [科雷傲],KOLEOS,247,1
雷诺,Koleos [科雷傲],科雷傲,247,1
雷诺,科雷傲,科雷傲,89,1
雷诺,科雷嘉,科雷嘉,72,1
领克,领克01,领克01,169,1
领克,领克02,领克02,127,1
领克,领克03,领克03,219,1
领克,领克06,领克06,68,1
风光,风光,风光,1005,1
风神,A30,A30,57,0
风神,A60,A60,181,0
风神,AX3,AX3,55,0
风神,AX7,AX7,316,0
风神,H30,H30,203,0
风神,S30,S30,235,0
风神,奕炫,奕炫,66,1
风行,S500,S500,79,0
风行,SX6,SX6,52,0
风行,景逸,景逸,1212,1
风行,菱智,菱智,634,1
马自达,CX-4,CX-4,338,0
马自达,CX-4,CX4,338,0
马自达,CX-5,CX-5,483,0
马自达,CX-5,CX5,483,0
马自达,Mazda3 [马自达3],MAZDA3,55,1
马自达,Mazda3 [马自达3],马自达3,55,1
马自达,Mazda5 [马自达5],MAZDA5,78,1
马自达,Mazda5 [马自达5],马自达5,78,1
马自达,马自达2,马自达2,152,1
马自达,马自达3,马自达3,1870,1
马自达,马自达6,马自达6,2239,1
驭胜,驭胜,驭胜,270,1
理想,L9,L9,100,1
理想,L8,L8,100,1
理想,L7,L7,100,1
理想,L6,L6,100,1
理想,MEGA,MEGA,100,1
小鹏,P7,P7,100,1
小鹏,P5,P5,100,1
小鹏,G3,G3,100,0
小鹏,G6,G6,100,1
小鹏,G9,G9,100,1
