车辆名称,车辆评级,成交价格,成交时间,上牌时间,行驶里程,车辆所在地,使用性质,颜色
林肯/冒险家/2021款 2.0T 自动 两驱尊享版,80AB,9.81万元,2026年03月,2021年05月,35960公里,西安,非营运,黑色
腾势/腾势N7/2023款 长续航性能Max版,90CB,11.01万元,2026年03月,2023年09月,13912公里,西安,非营运,棕色
标致/408/2014款 1.8 自动 豪华版,60BB,1.66万元,2026年03月,2016年08月,111722公里,西安,非营运,白色
日产/轩逸/2009款 1.6 手动 XE舒适版,95AA,0.57万元,2026年03月,2010年02月,182578公里,烟台,非营运,黄色
长安/UNI-T/2020款 1.5T 自动 旗舰型,90AB,5.28万元,2026年03月,2020年08月,66668公里,上海,非营运,灰色
丰田/致炫/2014款 1.5 自动 G炫动版,75BB,1.83万元,2026年03月,2014年01月,106975公里,金华,非营运,白色
江汽集团/瑞风S3/2016款 1.5 手动 豪华智能型,75BB,0.83万元,2026年03月,2016年05月,85181公里,嘉兴,非营运,白色
现代/名图/2014款 1.8 自动 尊贵型,60DB,1.60万元,2026年03月,2015年02月,172248公里,杭州,非营运,白色
五菱汽车/MINIEV/2021款 马卡龙臻享款 磷酸铁锂,75AB,1.25万元,2026年03月,2021年09月,52080公里,廊坊,非营运,其他
"中升车源
大众/领驭/2007款 1.8T 自动 VIP",75BC,0.89万元,2026年03月,2008年10月,155011公里,杭州,非营运,灰色
大众/ID.4 X/2021款 Pure+ 纯净长续航版,60BC,7.90万元,2026年03月,2022年05月,84808公里,台州,非营运,白色
现代/ix25/2020款 1.5 自动 智能型,80BB,5.40万元,2026年03月,2020年07月,37710公里,温州,非营运,白色
讴歌/MDX/2014款 3.5 自动 精英版 (进口),70BC,6.30万元,2026年03月,2016年09月,111796公里,上海,非营运,黑色
哈弗/哈弗H6/2017款 2.0T 自动 红标智尚型前驱,80BC,2.80万元,2026年03月,2017年08月,73825公里,杭州,非营运,黑色
"中升车源
本田/奥德赛/2009款 2.4 自动 领秀型",35BC,2.43万元,2026年03月,2009年12月,272842公里,上海,非营运,紫色
别克/GL8/2017款 2.0T 自动 ES 28T旗舰型,45DC,8.41万元,2026年03月,2018年05月,129928公里,北京,租赁公司非营运,灰色
五菱汽车/五菱荣光V/2016款 1.2 手动 实用型,30DD,0.96万元,2026年03月,2017年01月,148299公里,天津,非营运,灰色
东风风行/菱智/2016款 1.6 手动 M3长车舒适型L 9座,45BC,1.69万元,2026年03月,2016年05月,83761公里,天津,非营运,灰色
奔驰/C级旅行车/2019款 1.5T 自动 C260 (进口),75CB,12.52万元,2026年03月,2019年07月,78473公里,北京,非营运,白色
长安/奔奔EV/2017款 纯电动 180公里 标准型,50BB,0.93万元,2026年03月,2017年03月,32018公里,北京,非营运,白色
丰田/雷凌/2021款 1.8 自动 H E-CVT豪华版 双擎,60BB,5.06万元,2026年03月,2021年02月,162943公里,天津,非营运,白色
大众/朗逸/2015款 1.6 自动 舒适版,65BB,3.15万元,2026年03月,2016年10月,107272公里,北京,非营运,白色
大众/途观/2016款 1.8T 自动 300TSI风尚版前驱,90BB,3.56万元,2026年03月,2016年02月,140516公里,杭州,非营运,白色
别克/昂科威Plus/2016款 1.5T 自动 20T精英型前驱,65BB,3.00万元,2026年03月,2016年10月,127461公里,哈尔滨,非营运,棕色
奥迪/A4L/2011款 2.0T 自动 TFSI运动型,65BC,2.30万元,2026年03月,2011年10月,77062公里,上海,非营运,灰色
标致/4008/2017款 1.6T 自动 350THP精英版,70BC,3.50万元,2026年03月,2017年12月,133201公里,深圳,非营运,白色
吉利汽车/缤瑞/2018款 1.4T 自动 缤纷版,65AC,1.90万元,2026年03月,2018年09月,70630公里,湛江,非营运,白色
大众/捷达/2013款 1.6 自动 时尚型,65CB,1.45万元,2026年03月,2014年06月,78797公里,大连,非营运,白色
捷豹/XF/2015款 2.0T 自动 豪华版 (进口),65CC,2.97万元,2026年03月,2014年12月,139785公里,深圳,非营运,黄色
丰田/锐志/2013款 2.5 自动 V尊锐版,55BC,5.52万元,2026年03月,2014年10月,81668公里,海口,非营运,白色
启辰/R50/2013款 1.6 自动 时尚版,65BB,0.31万元,2026年03月,2013年08月,190458公里,深圳,非营运,红色
哈弗/哈弗H6/2016款 1.5T 手动 升级版超值型前驱,60BC,1.50万元,2026年03月,2017年02月,62133公里,天津,非营运,白色
荣威/i6 MAX新能源/2020款 1.5T 自动 PHEV爽酷天幕版,75AB,3.73万元,2026年03月,2020年12月,14003公里,上海,非营运,灰色
"中升车源
别克/威朗三厢/2019款 1.5T 自动 20T领先型",80BC,3.00万元,2026年03月,2018年11月,92100公里,青岛,非营运,白色
大众/蔚领/2017款 1.6 自动 舒适型,60BB,4.11万元,2026年03月,2017年04月,83315公里,天津,非营运,白色
启辰/启辰星/2020款 1.5T 自动 260T 48V轻混增压星享版,55BB,3.83万元,2026年03月,2020年11月,57033公里,杭州,非营运,白色
现代/ix35/2013款 2.0 自动 GLS智能型前驱 国IV,45CC,1.77万元,2026年03月,2014年05月,162594公里,嘉兴,非营运,黑色
奥迪/A6L/2008款 2.0T 自动 标准型,65DD,1.42万元,2026年03月,2007年12月,98603公里,宁波,非营运,黑色
奥迪/Q5/2013款 2.0T 自动 40TFSI技术型,75BC,5.67万元,2026年03月,2014年12月,121934公里,天津,非营运,白色
MINI/COUNTRYMAN/2014款 1.6T 自动 COOPER S (进口),60BC,4.20万元,2026年03月,2015年11月,114190公里,天津,非营运,其他
哈弗/哈弗H6/2019款 1.5T 自动 GDIT冠军版,65BC,2.97万元,2026年03月,2019年08月,140504公里,天津,非营运,黑色
大众/迈腾/2015款 1.8T 自动 领先型,50CC,2.96万元,2026年03月,2015年11月,176275公里,成都,非营运,黄色
日产/楼兰/2011款 3.5 自动 四驱,65DC,1.50万元,2026年03月,2011年12月,169641公里,深圳,非营运,黄色
长安/奔奔E-Star/2022款 清心版 多彩款 磷酸铁锂,80BB,2.77万元,2026年03月,2023年11月,67369公里,杭州,非营运,白色
别克/君威/2019款 1.5T 自动 20T精英型 国VI,55BC,4.53万元,2026年03月,2019年09月,164532公里,成都,非营运,白色
福特/翼搏/2013款 1.5 自动 尊贵型,55BC,1.30万元,2026年03月,2015年10月,82165公里,上海,非营运,白色
本田/凌派/2013款 1.8 自动 豪华版,30CC,2.47万元,2026年03月,2014年11月,106148公里,天津,非营运,白色
名爵/名爵HS/2018款 1.5T 自动 20T荷尔蒙劲取版前驱,65DC,1.92万元,2026年03月,2018年12月,53785公里,上海,非营运,红色
荣威/RX5/2016款 1.5T 自动 20T互联网智享版前驱,75CC,1.54万元,2026年03月,2016年09月,117982公里,宁波,非营运,白色
别克/阅朗/2018款 1.3T 自动 18T旗舰型,75CA,2.79万元,2026年03月,2019年05月,102467公里,石家庄,非营运,白色
大众/途岳/2021款 1.4T 自动 280TSI豪华版PLUS前驱,70BB,8.52万元,2026年03月,2022年01月,77397公里,北京,非营运,灰色
丰田/锐志/2007款 2.5 自动 S真皮天窗版,40DC,1.34万元,2026年03月,2008年03月,253030公里,上海,非营运,蓝色
现代/胜达/2013款 2.4 自动 智能型前驱,60BC,1.32万元,2026年03月,2013年07月,112450公里,杭州,非营运,棕色
众泰/大迈X5/2015款 1.5T 自动 知县型 国V,30CC,0.60万元,2026年03月,2017年06月,130031公里,天津,非营运,白色
别克/昂科拉GX/2020款 1.3T 自动 20T豪华型前驱,65CC,3.63万元,2026年03月,2019年11月,45513公里,上海,非营运,白色
大众/迈腾/2015款 1.8T 自动 领先型,45CC,3.06万元,2026年03月,2015年03月,96767公里,上海,非营运,黑色
别克/君威/2014款 2.0 自动 领先时尚型,50CC,1.53万元,2026年03月,2014年04月,65913公里,上海,非营运,红色
比亚迪/元/2016款 1.5 手动 豪华型前驱,95AA,0.52万元,2026年03月,2016年09月,94483公里,广州,非营运,白色
福特/福克斯两厢/2012款 1.6 手动 舒适型,95AA,1.03万元,2026年03月,2013年09月,195370公里,广州,非营运,灰色
奇瑞/瑞虎5/2014款 2.0 自动 家尊版,65BB,1.24万元,2026年03月,2014年11月,46399公里,天津,非营运,棕色
三菱/欧蓝德/2016款 2.4 自动 精英版5座四驱,50BC,4.05万元,2026年03月,2017年05月,132087公里,昆明,非营运,白色
Jeep/指南者(进口)/2014款 2.4 自动 舒适版四驱 改款 (进口),60BC,1.26万元,2026年03月,2015年07月,158852公里,深圳,非营运,黑色
宝马/X1（进口）/2012款 2.0 自动 18i豪华型后驱 (进口),70BB,2.14万元,2026年03月,2014年02月,185441公里,深圳,非营运,白色
别克/英朗三厢/2016款 1.5 自动 15N精英型,65BC,2.22万元,2026年03月,2016年12月,103716公里,南京,非营运,白色
日产/天籁/2013款 2.0 自动 XL舒适版,50DD,1.87万元,2026年03月,2014年07月,122532公里,上海,非营运,黑色
"中升车源
吉利汽车/帝豪三厢/2016款 1.5 手动 向上版",35BD,0.66万元,2026年03月,2016年05月,54259公里,广州,非营运,白色
比亚迪/唐新能源/2023款 1.5T 自动 DM-i 冠军版 112KM 尊荣型,70AB,8.58万元,2026年03月,2024年01月,40378公里,天津,非营运,白色
"中升车源
本田/飞度两厢/2006款 1.5L 标准版 手动",95AA,0.34万元,2026年03月,2007年07月,94798公里,南京,非营运,蓝色
福特/翼虎/2015款 1.5T 自动 GTDi风尚型前驱,70BB,2.53万元,2026年03月,2016年09月,95035公里,天津,非营运,白色
日产/天籁/2018款 2.0 自动 XL智进版,65BC,4.23万元,2026年03月,2019年01月,123684公里,北京,非营运,黑色
五菱汽车/MINIEV/2025款 四门版 进阶款,90AB,2.70万元,2026年03月,2025年02月,27536公里,石家庄,非营运,白色
启辰/T70/2016款 1.6 手动 睿行版,75AB,2.24万元,2026年03月,2017年12月,50888公里,邢台,非营运,白色
马自达/CX-5/2022款 2.5L 自动 四驱尊耀型,70AB,12.27万元,2026年03月,2022年02月,21934公里,成都,非营运,灰色
"中升车源
雪佛兰/乐风/2006款 1.6 自动 SX",50CC,0.33万元,2026年03月,2006年10月,164850公里,南京,非营运,蓝色
大众/速腾/2015款 1.4T 手动 230TSI舒适型,55BC,3.09万元,2026年03月,2016年09月,110021公里,天津,非营运,灰色
大众/途观/2015款 1.8T 自动 豪华版前驱,75BC,2.47万元,2026年03月,2015年05月,204707公里,杭州,非营运,棕色
"中升车源
丰田/卡罗拉锐放/2022款 2.0L 自动 精英版",80BC,6.89万元,2026年03月,2022年12月,39116公里,宁波,非营运,白色
大众/POLO两厢/2016款 1.6 自动 舒适型,70AB,3.22万元,2026年03月,2017年03月,17115公里,上海,非营运,白色
别克/威朗三厢/2015款 1.5T 自动 20T精英型,45CC,2.55万元,2026年03月,2016年06月,87762公里,上海,非营运,白色
雪佛兰/赛欧三厢/2013款 1.2 手动 时尚版,50CB,0.53万元,2026年03月,2013年10月,136465公里,天津,非营运,白色
东风风光/风光330/2014款 1.5L 手动 标准型DK15-02,60CB,0.61万元,2026年03月,2017年02月,16618公里,北京,非营运,白色
日产/骐达/2008款 1.6 自动 智能型,50BC,1.13万元,2026年03月,2010年04月,127873公里,深圳,非营运,黄色
"中升车源
丰田/卡罗拉/2017款 1.2T 手动 GL-i 改款",70BC,4.10万元,2026年03月,2019年03月,65645公里,昆明,非营运,白色
起亚/K5凯酷/2011款 2.0 自动 DLX,55DB,1.39万元,2026年03月,2012年02月,132433公里,上海,非营运,白色
大众/途观/2013款 1.8T 自动 舒适版前驱,70BC,2.71万元,2026年03月,2014年06月,128023公里,杭州,非营运,白色
雪佛兰/爱唯欧三厢/2011款 1.4 手动 SL,95AA,0.35万元,2026年03月,2014年01月,73822公里,济南,非营运,白色
大众/宝来三厢/2014款 1.6 自动 舒适型,50CC,1.50万元,2026年03月,2015年03月,190784公里,宁波,非营运,灰色
大众/途观/2016款 1.8T 自动 300TSI豪华版四驱,75BC,3.27万元,2026年03月,2016年08月,110681公里,杭州,非营运,白色
大众/一汽-大众CC/2016款 2.0T 自动 豪华型,60BB,4.80万元,2026年03月,2016年01月,103765公里,天津,非营运,黄色
大众/高尔夫/2012款 1.6 自动 舒适型,60DB,1.97万元,2026年03月,2013年03月,112438公里,天津,非营运,白色
比亚迪/汉/2025款 EV 智驾版 635KM旗舰版,95AA,13.57万元,2026年03月,2025年11月,8989公里,温州,非营运,黑色
"中升车源
丰田/凯美瑞/2009款 2.4 自动 240E精英型",55CC,1.62万元,2026年03月,2010年03月,208869公里,深圳,非营运,黑色
别克/凯越/2013款 1.5 手动 经典型,75BC,0.70万元,2026年03月,2014年10月,114429公里,呼和浩特,非营运,白色
本田/CR-V/2012款 2.4 自动 VTi尊贵型四驱,80CC,3.50万元,2026年03月,2013年06月,213796公里,呼和浩特,非营运,灰色
"中升车源
宝马/3系/2013款 2.0T 自动 320i时尚型",90BA,3.26万元,2026年03月,2013年10月,150254公里,苏州,非营运,白色
大众/宝来三厢/2014款 1.6 手动 舒适型,45DD,1.00万元,2026年03月,2014年05月,140353公里,南通,非营运,灰色
马自达/马6阿特兹/2020款 2.5 自动 蓝天运动版,75AB,7.58万元,2026年03月,2020年04月,61452公里,昆明,非营运,红色
哈弗/哈弗H6/2015款 1.5T 自动 运动版豪华型前驱,50CC,1.40万元,2026年03月,2016年06月,260599公里,昆明,非营运,灰色
猎豹汽车/CS10/2017款 2.0T 自动 都市型,75BC,1.00万元,2026年03月,2017年07月,65056公里,西双版纳,非营运,白色
"中升车源
东风风光/风光S560/2018款 1.8 手动 豪华型7座",65BC,1.25万元,2026年03月,2018年04月,192192公里,红河,非营运,白色
现代/朗动/2015款 1.6 手动 GLX领先型,55CB,1.52万元,2026年03月,2015年06月,91716公里,苏州,非营运,白色
丰田/C-HR/2021款 2.0L 豪华版,65BB,5.06万元,2026年03月,2022年06月,46249公里,北京,非营运,其他
广汽传祺/传祺GS4/2015款 1.3T 手动 200T豪华版,75CC,1.00万元,2026年03月,2015年10月,139503公里,六安,非营运,黄色
大众/迈腾/2016款 1.8T 自动 智享舒适型,65CC,3.57万元,2026年03月,2016年05月,108747公里,合肥,非营运,黄色
荣威/RX5新能源/2017款 eRX5 1.5T 自动 50T 混动互联尊贵旗舰版,65CB,2.55万元,2026年03月,2018年09月,44907公里,东莞,非营运,白色
别克/昂科拉/2015款 1.4T 手动 都市进取型前驱,65BC,0.81万元,2026年03月,2015年12月,213181公里,蚌埠,非营运,白色
北汽幻速/S6/2017款 1.5T 自动 乐享型,35BD,0.68万元,2026年03月,2018年09月,192802公里,阜阳,非营运,白色
大众/宝来三厢/2017款 1.6 自动 时尚型,50BC,2.67万元,2026年03月,2017年07月,145529公里,南京,非营运,白色
"中升车源
哈弗/哈弗H4/2018款 1.5T 自动 红标风尚型",65CC,2.02万元,2026年03月,2018年06月,82722公里,广州,非营运,白色
丰田/凯美瑞/2013款 2.0 自动 200G经典豪华版,75CB,2.85万元,2026年03月,2014年06月,110491公里,惠州,租赁公司非营运,黑色
"中升车源
别克/君威/2009款 2.4 自动 精英型",45BC,0.53万元,2026年03月,2009年12月,83790公里,广州,非营运,灰色
