品牌,车型,上牌时间,行驶里程,颜色,城市,车况,是否营运,成交价格,成交时间
大众,2019款 朗逸 启航 1.5L 手动风尚版 国VI,2021年5月1日,9.5,白色,保定,50D,非营运,2.99,11月18日
大众,2021款 朗逸 280TSI DSG舒适版 国VI,2021年5月1日,5.5,白色,保定,65B,非营运,5.34,8月25日
大众,2019款 朗逸 1.5L 自动视野版 国VI,2021年3月1日,4.8,黄色,临沂,80B,非营运,5.16,11月24日
大众,2021款 朗逸 1.5L 自动风尚版,2021年1月1日,8.4,黑色,杭州,65B,预约出租转非,3.43,11月19日
大众,2019款 朗逸 启航 1.5L 自动舒适版 国VI,2020年12月1日,2.7,白色,保定,65D,非营运,3.89,8月27日
大众,2019款 朗逸 启航 1.5L 自动舒适版 国VI,2020年12月1日,5.4,白色,渭南,80B,非营运,4.28,10月15日
大众,2019款 朗逸 启航 1.5L 自动风尚版 国VI,2020年10月1日,5.5,黑色,西安,80B,非营运,4.15,9月15日
大众,2019款 朗逸 启航 1.5L 自动舒适版 国VI,2020年9月1日,6.8,白色,青岛,65B,非营运,4.1,9月29日
大众,2019款 朗逸 1.5L 自动风尚版 国VI,2020年9月1日,12.7,白色,商丘,65B,非营运,3.97,8月13日
大众,2019款 朗逸 280TSI DSG豪华版 国VI,2020年4月1日,11.7,白色,深圳,65D,非营运,4.27,6月30日
大众,2019款 朗逸 1.5L 自动舒适版 国VI,2020年3月1日,5.7,白色,西安,65B,非营运,5.16,6月30日
大众,2019款 朗逸 1.5L 自动舒适版 国VI,2019年11月1日,11.9,黄色,郑州,65B,非营运,3.95,6月30日
大众,2019款 朗逸 1.5L 自动舒适版 国VI,2019年11月1日,6.7,白色,西安,65B,非营运,4.14,6月30日
大众,2019款 朗逸 1.5L 自动舒适版 国VI,2019年11月1日,6.7,白色,西安,65B,非营运,3.94,6月30日
大众,2018款 朗逸 1.5L 自动风尚版 国V,2019年10月1日,25.0,黄色,福州,65B,非营运,3.5,6月30日
大众,2019款 朗逸 280TSI DSG舒适版 国VI,2019年10月1日,3.8,黑色,郑州,65B,非营运,5.17,6月30日
大众,2017款 朗逸 1.6L 自动风尚版,2019年7月1日,12.4,白色,青岛,65B,营运,2.0,7月16日
大众,2019款 朗逸 280TSI DSG舒适版 国VI,2019年6月1日,6.8,黑色,安阳,65B,非营运,4.47,9月20日
大众,2019款 朗逸 280TSI DSG豪华版 国VI,2019年4月1日,11.0,黄色,郑州,65D,非营运,4.18,11月5日
大众,2019款 朗逸 280TSI DSG舒适版 国VI,2019年4月1日,7.4,黑色,郑州,65B,非营运,5.1,10月10日
大众,2018款 朗逸 280TSI DSG 舒适版 国V,2019年4月1日,48.9,白色,北京,50D,非营运,2.84,8月16日
大众,2017款 朗逸 1.6L 自动风尚版,2019年3月1日,3.5,白色,海口,65B,非营运,3.62,11月13日
大众,2017款 朗逸 1.6L 自动舒适版,2019年1月1日,9.4,黑色,郑州,65B,非营运,3.66,7月26日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,2.5,白色,海口,65B,非营运,3.45,11月14日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,3.5,白色,海口,65B,非营运,3.45,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,4.1,白色,海口,65B,非营运,3.63,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,3.2,其他,海口,65B,非营运,3.74,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,4.0,白色,海口,65B,非营运,3.69,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,4.5,白色,海口,65B,非营运,3.55,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,6.4,白色,海口,65B,非营运,3.5,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,4.2,白色,海口,65B,非营运,3.6,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2019年1月1日,5.2,白色,海口,65B,非营运,3.52,11月13日
大众,2017款 朗逸 1.6L 自动风尚版,2018年11月1日,4.6,白色,郑州,65B,非营运,3.42,10月19日
大众,2018款 朗逸 280TSI DSG 舒适版 国V,2018年10月1日,33.6,黑色,北京,50D,非营运,3.23,8月16日
大众,2017款 朗逸 1.6L 自动风尚版,2018年10月1日,4.2,黑色,天津,65B,非营运,3.45,9月11日
大众,2018款 朗逸 280TSI DSG 舒适版 国V,2018年9月1日,8.6,白色,周口,65B,非营运,4.49,9月22日
大众,2017款 朗逸 1.6L 自动风尚版,2018年9月1日,8.4,白色,北京,65B,非营运,3.42,10月26日
大众,2018款 朗逸 280TSI DSG 舒适版 国V,2018年8月1日,47.8,白色,北京,65B,非营运,3.46,12月8日
大众,2017款 朗逸 1.6L 自动舒适版,2018年8月1日,19.0,黑色,上海,65D,非营运,2.4,9月15日
大众,2017款 朗逸 1.6L 自动舒适版,2018年8月1日,8.9,白色,凉山彝族自治州,65B,非营运,3.27,10月11日
大众,2017款 朗逸 1.6L 手动舒适版,2018年6月1日,13.9,白色,北京,50D,非营运,2.0,10月11日
大众,2018款 朗逸 1.5L 自动舒适版 国V,2018年6月1日,11.7,紫色,杭州,65B,非营运,3.93,7月12日
大众,2017款 朗逸 230TSI DSG 舒适版,2018年6月1日,4.0,灰色,北京,65B,非营运,3.91,10月28日
大众,2017款 朗逸 1.6L 自动舒适版,2018年4月1日,8.3,白色,西安,65B,非营运,3.92,8月7日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2018年4月1日,16.9,黑色,成都,65D,非营运,1.8,11月21日
大众,2017款 朗逸 1.6L 自动舒适版,2018年3月1日,4.2,黄色,南京,65B,非营运,3.25,10月12日
大众,2017款 朗逸 1.6L 自动风尚版,2018年3月1日,9.9,黑色,青岛,65B,营运,1.59,7月16日
大众,2017款 朗逸 1.6L 自动风尚版,2018年3月1日,9.0,黑色,青岛,65B,营运,1.75,7月16日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2018年3月1日,11.2,黑色,广州,65D,非营运,2.98,11月5日
大众,2017款 朗逸 1.6L 自动风尚版,2018年3月1日,11.2,黑色,青岛,50B,营运,1.55,7月16日
大众,2017款 朗逸 1.6L 自动风尚版,2018年2月1日,10.3,白色,西安,65B,非营运,3.15,10月27日
大众,2017款 朗逸 230TSI DSG舒适版,2018年2月1日,13.1,白色,平顶山,65B,非营运,3.72,11月4日
大众,2017款 朗逸 1.6L 自动舒适版,2018年2月1日,7.0,白色,北京,50B,非营运,2.95,10月24日
大众,2017款 朗逸 1.6L 自动舒适版,2018年2月1日,7.0,白色,北京,50B,非营运,3.17,10月22日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2018年1月1日,13.8,白色,石家庄,65B,非营运,3.16,10月9日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2018年1月1日,9.2,白色,郑州,65B,非营运,2.79,7月29日
大众,2017款 朗逸 1.6L 自动风尚版,2018年1月1日,9.2,白色,郑州,65B,非营运,2.99,7月27日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2018年1月1日,37.5,白色,北京,65B,非营运,2.97,7月19日
大众,2017款 朗逸 1.6L 手动舒适版,2018年1月1日,12.6,黑色,保定,65B,非营运,3.0,12月8日
大众,2017款 朗逸 1.6L 手动风尚版,2018年1月1日,9.6,白色,天津,65D,非营运,2.55,9月29日
大众,2017款 朗逸 1.6L 自动风尚版,2017年12月1日,13.0,黑色,保定,65B,非营运,2.6,11月3日
大众,2017款 朗逸 1.6L 自动舒适版,2017年12月1日,13.0,灰色,长沙,65B,非营运,2.96,11月24日
大众,2017款 朗逸 1.6L 自动舒适版,2017年12月1日,8.8,白色,嘉兴,65B,非营运,2.85,8月12日
大众,2017款 朗逸 230TSI DSG舒适版,2017年11月1日,9.0,白色,南阳,65B,非营运,3.46,10月10日
大众,2017款 朗逸 230TSI DSG舒适版,2017年11月1日,9.8,黑色,北京,50B,非营运,4.0,10月9日
大众,2017款 朗逸 1.6L 自动舒适版,2017年11月1日,9.2,白色,长沙,65B,非营运,2.86,9月28日
大众,2017款 朗逸 1.6L 手动舒适版,2017年10月1日,9.0,白色,天津,65D,非营运,2.32,9月12日
大众,2017款 朗逸 1.6L 自动舒适版,2017年10月1日,6.7,白色,郑州,65D,非营运,3.26,9月25日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2017年10月1日,17.0,黑色,北京,50B,非营运,2.13,11月26日
大众,2017款 朗逸 230TSI DSG舒适版,2017年10月1日,14.2,黑色,北京,50B,非营运,2.76,10月19日
大众,2017款 朗逸 230TSI DSG舒适版,2017年9月1日,16.4,黑色,北京,65B,非营运,3.21,10月16日
大众,2017款 朗逸 1.6L 自动舒适版,2017年9月1日,9.4,黑色,石家庄,65D,非营运,2.95,9月16日
大众,2017款 朗逸 1.6L 自动舒适版,2017年9月1日,9.4,黑色,石家庄,65D,非营运,2.92,9月16日
大众,2017款 朗逸 230TSI DSG舒适版,2017年9月1日,8.6,白色,石家庄,65B,非营运,3.82,12月4日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2017年9月1日,16.1,黑色,济宁,65B,非营运,2.89,11月25日
大众,2017款 朗逸 1.6L 自动舒适版,2017年9月1日,38.6,黑色,北京,35D,非营运,2.62,8月23日
大众,2017款 朗逸 1.6L 自动风尚版,2017年8月1日,11.1,白色,保定,65B,非营运,3.12,12月12日
大众,2017款 朗逸 1.6L 自动舒适版,2017年8月1日,5.0,白色,保定,65B,非营运,4.6,10月17日
大众,2017款 朗逸 1.6L 自动风尚版,2017年8月1日,5.3,白色,北京,65B,非营运,2.57,9月29日
大众,2017款 朗逸 1.6L 自动舒适版,2017年8月1日,7.3,白色,北京,65B,非营运,2.91,8月21日
大众,2017款 朗逸 1.6L 自动风尚版,2017年7月1日,15.8,白色,西安,65B,非营运,2.95,8月22日
大众,2017款 朗逸 1.6L 手动风尚版,2017年6月1日,11.9,白色,昆明,65B,非营运,2.62,9月28日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2017年6月1日,8.2,白色,长沙,65B,非营运,2.9,10月23日
大众,2015款 朗逸 1.6 手动舒适版,2017年6月1日,11.6,白色,成都,65B,非营运,2.47,11月1日
大众,2017款 朗逸 1.6L 手动舒适版,2017年6月1日,6.0,黑色,北京,50B,非营运,3.09,12月15日
大众,2015款 朗逸 1.6 手动舒适版,2017年5月1日,13.0,黑色,郑州,65B,非营运,2.24,12月20日
大众,2017款 朗逸 1.6L 自动舒适版,2017年5月1日,5.3,白色,商丘,65D,非营运,2.85,6月30日
大众,2017款 朗逸 1.6L 手动风尚版,2017年5月1日,17.7,白色,凉山彝族自治州,65B,非营运,1.71,6月30日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2017年4月1日,10.4,黑色,宜宾,65D,非营运,1.6,6月30日
大众,2017款 朗逸 1.6L 手动风尚版,2017年2月1日,7.3,黑色,临沂,65B,非营运,2.65,6月30日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2017年2月1日,30.2,白色,信阳,65B,预约出租转非,0.85,6月30日
大众,2015款 朗逸 1.6L 自动舒适版,2016年12月1日,10.7,红色,株洲,65B,非营运,2.6,6月30日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2016年12月1日,23.5,白色,长沙,65D,非营运,1.88,10月30日
大众,2015款 朗逸 1.6L 自动舒适版,2016年11月1日,11.4,黑色,南阳,65B,非营运,2.78,8月20日
大众,2015款 朗逸 1.6L 手动风尚版,2016年10月1日,11.8,白色,安康,65D,非营运,1.73,11月3日
大众,2015款 朗逸 1.6L 手动风尚版,2016年10月1日,11.8,白色,安康,65D,非营运,1.75,10月30日
大众,2015款 朗逸 1.6L 自动舒适版,2016年10月1日,16.0,白色,自贡,65B,非营运,2.47,9月27日
大众,2015款 朗逸 1.6L 手动风尚版,2016年10月1日,13.2,白色,信阳,65B,非营运,2.12,7月24日
大众,2015款 朗逸 1.6L 手动风尚版,2016年9月1日,9.3,黑色,内江,65B,非营运,2.0,8月25日
大众,2015款 朗逸 1.6L 自动舒适版,2016年9月1日,11.5,白色,周口,65B,非营运,2.74,9月23日
大众,2015款 朗逸 1.6 手动舒适版,2016年9月1日,14.2,白色,信阳,65D,非营运,1.86,12月4日
大众,2015款 朗逸 1.6 手动舒适版,2016年9月1日,6.9,白色,北京,50B,非营运,2.8,10月9日
大众,2015款 朗逸 1.6L 自动风尚版,2016年8月1日,10.8,白色,东莞,65D,非营运,2.29,12月12日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2016年8月1日,14.7,灰色,重庆,65B,非营运,2.26,11月28日
大众,2015款 朗逸 1.6L 自动舒适版,2016年8月1日,16.6,白色,广安,65B,非营运,2.59,9月25日
大众,2015款 朗逸 1.6L 自动舒适版,2016年6月1日,8.9,黑色,天津,65B,非营运,3.01,10月20日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2016年6月1日,15.1,白色,临沂,65B,非营运,2.25,9月6日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2016年5月1日,12.5,白色,唐山,65B,非营运,2.92,9月4日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2016年5月1日,16.5,白色,北京,50B,非营运,1.77,9月26日
大众,2015款 朗逸 1.6L 自动风尚版,2016年5月1日,19.6,黑色,株洲,50B,非营运,2.2,10月13日
大众,2015款 朗逸 1.6L 自动风尚版,2016年5月1日,7.9,白色,安阳,65B,非营运,2.96,10月5日
大众,2013款 朗逸 1.6L 自动风尚版,2016年4月1日,12.5,黑色,娄底,50D,非营运,1.48,11月11日
大众,2015款 朗逸 1.6L 自动风尚版,2016年4月1日,7.4,白色,周口,65B,非营运,2.97,11月14日
大众,2015款 朗逸 1.6 手动舒适版,2016年4月1日,18.8,黑色,西安,65B,非营运,2.01,11月21日
大众,2015款 朗逸 1.6L 自动舒适版,2016年4月1日,23.5,黑色,北京,35D,非营运,2.12,7月31日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2016年4月1日,9.3,黑色,银川,65D,非营运,2.1,10月13日
大众,2015款 朗逸 1.6L 手动风尚版,2016年3月1日,31.8,黑色,唐山,65D,非营运,1.34,7月15日
大众,2015款 朗逸 1.6L 手动风尚版,2016年3月1日,21.0,白色,西安,65D,非营运,0.68,10月11日
大众,2015款 朗逸 1.6 手动舒适版,2016年3月1日,7.9,黑色,临沂,65B,非营运,2.49,9月13日
大众,2015款 朗逸 1.6L 自动舒适版,2016年3月1日,20.8,白色,杭州,65B,非营运,2.37,12月9日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2016年2月1日,12.5,黑色,榆林,65B,非营运,2.43,9月8日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2016年2月1日,12.5,黑色,长沙,65B,非营运,2.84,11月25日
大众,2015款 朗逸 230TSI DSG舒适版,2016年2月1日,19.2,黑色,武汉,65B,非营运,2.43,10月5日
大众,2015款 朗逸 1.6L 手动风尚版,2016年2月1日,15.7,黑色,益阳,65B,非营运,1.78,10月19日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2016年2月1日,15.7,黑色,武汉,65B,非营运,2.15,11月25日
大众,2013款 朗逸 改款 1.4TSI DSG舒适版,2016年1月1日,16.9,黑色,驻马店,65B,非营运,1.9,10月3日
大众,2015款 朗逸 1.6L 手动风尚版,2016年1月1日,12.9,白色,东莞,65B,非营运,1.75,11月24日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2016年1月1日,5.0,黑色,南昌,65B,非营运,2.2,10月12日
大众,2015款 朗逸 1.6L 手动风尚版,2016年1月1日,11.4,白色,保定,50B,非营运,1.81,10月3日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2016年1月1日,15.0,黑色,北京,50B,非营运,1.94,11月20日
大众,2015款 朗逸 230TSI DSG舒适版,2016年1月1日,14.1,黑色,邢台,65B,非营运,2.95,7月25日
大众,2015款 朗逸 1.6 手动舒适版,2015年12月1日,22.9,黑色,北京,50B,非营运,1.88,7月14日
大众,2015款 朗逸 1.6L 自动舒适版,2015年12月1日,15.4,白色,绍兴,65B,非营运,2.42,10月3日
大众,2015款 朗逸 1.6L 手动风尚版,2015年12月1日,10.4,灰色,西安,65B,非营运,1.75,9月24日
大众,2015款 朗逸 1.6L 手动风尚版,2015年11月1日,22.1,白色,天津,65B,非营运,1.78,10月16日
大众,2015款 朗逸 230TSI DSG舒适版,2015年11月1日,4.4,黑色,北京,50B,非营运,2.31,7月14日
大众,2015款 朗逸 1.6L 自动风尚版,2015年11月1日,9.2,黑色,扬州,65B,非营运,2.6,11月15日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年10月1日,18.5,黑色,济南,65B,非营运,1.95,11月4日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2015年10月1日,7.0,黑色,临沂,65B,非营运,2.12,8月4日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2015年9月1日,9.5,黑色,广安,65C,非营运,1.51,10月22日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2015年9月1日,9.8,黑色,北京,65C,非营运,2.18,9月20日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2015年9月1日,9.5,黑色,长沙,65D,非营运,1.18,8月15日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2015年9月1日,12.3,黑色,临沂,65B,非营运,1.74,12月9日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2015年8月1日,11.6,黑色,北京,50D,非营运,1.74,12月9日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年7月1日,44.7,黑色,西安,50D,非营运,0.95,9月2日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年6月1日,11.9,白色,武汉,65B,非营运,2.31,8月12日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年6月1日,10.0,白色,唐山,65B,非营运,2.66,9月22日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2015年5月1日,11.9,灰色,长沙,65B,非营运,1.95,8月4日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2015年5月1日,12.7,黑色,湘潭,50D,非营运,1.63,8月7日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2015年4月1日,4.0,黑色,天津,65B,非营运,1.83,8月25日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年4月1日,15.7,白色,郑州,50B,非营运,2.11,11月16日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2015年3月1日,9.4,白色,信阳,65D,非营运,1.94,7月10日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2015年1月1日,8.7,黑色,邯郸,65B,非营运,2.16,11月10日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年1月1日,10.6,黑色,北京,50D,非营运,1.11,8月28日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2015年1月1日,10.0,黑色,台州,65B,非营运,1.45,10月23日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2015年1月1日,10.0,黑色,台州,65B,非营运,1.45,10月17日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2015年1月1日,18.3,灰色,唐山,65B,非营运,2.1,8月5日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2014年12月1日,24.9,灰色,长沙,50D,非营运,1.33,8月5日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2014年12月1日,6.6,黑色,北京,65B,非营运,2.67,12月21日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2014年12月1日,18.0,灰色,益阳,65B,非营运,1.27,7月27日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2014年11月1日,5.5,黑色,延安,65A,非营运,1.68,10月10日
大众,2014款 朗逸 1.4TSI DSG运动版,2014年11月1日,11.4,灰色,呼和浩特,65B,非营运,2.38,11月25日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2014年11月1日,17.7,黑色,达州,65B,非营运,1.0,11月22日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2014年11月1日,12.5,白色,保定,65B,非营运,1.56,11月28日
大众,2013款 朗逸 改款 1.4TSI DSG舒适版,2014年11月1日,6.2,白色,北京,50B,非营运,2.72,8月29日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2014年10月1日,24.9,黑色,北京,50B,非营运,1.61,12月19日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2014年10月1日,11.5,白色,绍兴,65B,非营运,2.13,7月18日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2014年9月1日,20.4,白色,台州,65D,非营运,1.25,11月24日
大众,2014款 朗逸 1.4TSI DSG 30周年纪念版,2014年9月1日,13.7,白色,北京,50C,非营运,2.39,10月28日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2014年9月1日,19.8,黑色,重庆,65D,非营运,1.55,11月5日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2014年9月1日,18.9,黑色,金华,65B,非营运,0.91,8月21日
大众,2013款 朗逸 改款经典 1.6L 手动舒适版,2014年9月1日,9.3,白色,保定,65B,非营运,1.63,9月27日
大众,2013款 朗逸 1.4TSI 手动舒适版,2014年9月1日,10.7,黑色,湘潭,50D,非营运,0.76,8月13日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2014年7月1日,12.0,红色,绍兴,65B,非营运,1.8,10月6日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2014年7月1日,10.4,黑色,济南,65B,非营运,1.52,9月6日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2014年7月1日,17.8,白色,济南,65B,非营运,1.67,9月13日
大众,2013款 朗逸 改款经典 1.6L 自动舒适版,2014年6月1日,13.7,白色,驻马店,65B,非营运,2.27,12月10日
大众,2013款 朗逸 1.4TSI DSG豪华版,2014年5月1日,19.3,灰色,济南,65B,非营运,1.8,9月15日
大众,2013款 朗逸 改款经典 1.6L 手动风尚版,2014年5月1日,8.4,黑色,驻马店,65D,非营运,0.91,7月18日
大众,2013款 朗逸 改款经典 1.6L 自动风尚版,2014年4月1日,14.1,白色,长沙,65B,非营运,2.09,8月12日
