vehicle,actual,predicted,low,high,in_range,grade,years,success,price_group,year_group
比亚迪 海鸥 2024款 荣耀版 405KM 飞翔版,5.01,3.93,3.56,4.29,False,中,1.0,True,5-10万,0-3年
岚图 梦想家 2022款 0碳版 梦+智享包,19.32,18.6,17.31,19.86,True,中,1.08,True,10-20万,0-3年
吉利汽车 帝豪GS 2016款 1.8 自动 运动版领尚型,1.0,1.53,1.16,1.52,False,差,8.0,True,<1万,5-8年
日产 轩逸 2018款 1.6 自动 XV尊享版,2.94,2.58,2.32,2.82,False,中,7.42,True,1-3万,5-8年
日产 轩逸 2021款 1.6 自动 XL经典豪华版,3.48,3.75,3.39,4.09,True,中,4.0,True,3-5万,3-5年
奇瑞 瑞虎5x 2020款 1.5 手动 时尚版,2.81,2.85,2.88,3.34,False,优,3.92,True,1-3万,3-5年
WEY VV7 2017款 2.0T 自动 超豪型,2.24,3.13,2.83,3.42,False,中,7.92,True,1-3万,5-8年
丰田 雷凌 2022款 1.2T 自动 185T 豪华版,5.47,5.58,5.08,6.06,True,中,2.92,True,5-10万,0-3年
比亚迪 S7 2016款 2.0T 自动 旗舰型Plus,1.51,1.24,1.09,1.39,False,中,8.33,True,1-3万,8-10年
吉利汽车 金刚三厢 2010款 1.5 手动 无敌版,0.26,0.28,0.1,0.5,True,优,12.33,True,<1万,>10年
标致 308S 2015款 1.2THP 手自一体 尚驰版,1.1,1.35,1.19,1.51,False,中,9.92,True,1-3万,8-10年
大众 朗行 2013款 1.4T 自动 舒适版,0.92,1.65,1.25,1.65,False,差,12.0,True,<1万,>10年
现代 ix25 2015款 1.6 自动 GLS智能型前驱,2.0,2.44,1.9,2.34,True,差,10.67,True,1-3万,>10年
北京汽车 绅宝X35 2016款 1.5 自动 豪华版,1.59,1.23,1.08,1.38,False,中,6.5,True,1-3万,5-8年
现代 名图 2014款 1.8 自动 尊贵型,1.96,2.09,1.61,2.0,True,差,10.58,True,1-3万,>10年
福特 福克斯-三厢 2009款 1.8 手动 舒适型,0.3,0.37,0.17,0.57,True,中,14.5,True,<1万,>10年
比亚迪 F3 2012款 1.5 手动 舒适型节能版,0.4,0.58,0.38,0.78,True,中,7.75,True,<1万,5-8年
别克 英朗三厢 2015款 1.5 自动 15N精英型,1.61,1.62,1.58,1.96,True,优,9.33,True,1-3万,8-10年
本田 锋范 2015款 1.5 无级 舒适版,2.14,2.09,1.61,2.0,False,差,8.75,True,1-3万,8-10年
丰田 花冠EX 2013款 1.6 自动 卓越版,2.21,1.97,1.73,2.21,True,中,10.75,True,1-3万,>10年
凯迪拉克 ATS-L 2016款 2.0T 手自一体 28T 技术型,4.64,5.2,4.12,4.91,True,差,7.17,True,3-5万,5-8年
本田 奥德赛 2011款 2.4 自动 劲秀 豪华版,2.55,2.92,2.64,3.2,False,中,13.42,True,1-3万,>10年
雪铁龙 爱丽舍三厢 2014款 1.6 自动 舒适型,1.07,0.69,0.49,0.89,False,中,10.42,True,1-3万,>10年
大众 捷达 2019款 1.5 手动 梦想版舒适型,2.26,2.53,2.28,2.77,False,中,6.0,True,1-3万,5-8年
奔腾 B50 2011款 1.6 自动 豪华型,0.36,0.38,0.22,0.62,True,优,14.25,True,<1万,>10年
比亚迪 秦Pro新能源 2019款 EV超能版 高功率高续航智联领越型 纯电动,4.16,2.9,2.62,3.17,False,中,4.67,True,3-5万,3-5年
别克 昂科威 2016款 1.5T 双离合 20T 两驱精英型,2.28,3.06,2.76,3.35,False,中,9.33,True,1-3万,8-10年
丰田 花冠 2013款 1.6 手动 卓越型,1.29,1.52,1.34,1.7,False,中,12.33,True,1-3万,>10年
本田 思铂睿 2009款 2.4 自动 尊贵型,1.76,1.54,1.35,1.73,False,中,14.75,True,1-3万,>10年
丰田 RAV4 2011款 2.4 自动 豪华版,2.87,2.6,2.34,2.85,False,中,13.83,True,1-3万,>10年
WEY VV5 2020款 1.5T 自动 智先锋前驱,4.76,3.72,3.36,4.06,False,中,5.17,True,3-5万,5-8年
标致 408 2013款 2.0 自动 豪华型,0.84,0.81,0.61,1.01,True,中,10.83,True,<1万,>10年
大众 帕萨特 2013款 1.8T 自动 御尊版,2.3,2.14,1.92,2.34,True,中,12.92,True,1-3万,>10年
大众 桑塔纳浩纳 2015款 1.6 自动 风尚版,2.14,1.82,1.6,2.04,False,中,9.25,True,1-3万,8-10年
福特 蒙迪欧 2017款 1.5T 自动 EcoBoost180豪华型,4.76,4.06,3.68,4.43,False,中,8.0,True,3-5万,5-8年
广汽传祺 传祺GS4 2017款 1.3T 自动 200T G-DCT舒适版前驱,1.13,1.5,1.32,1.68,False,中,10.0,True,1-3万,8-10年
吉利 远景 2020款 1.5 无级 亚运版,3.07,2.29,2.06,2.51,False,中,4.25,True,3-5万,3-5年
别克 君威 2017款 1.5T 自动 20T精英型,3.63,3.87,3.04,3.65,True,差,6.67,True,3-5万,5-8年
日产 轩逸 2009款 1.6 自动 XE 舒适版,1.01,0.91,0.59,0.99,False,差,14.33,True,1-3万,>10年
日产 逍客 2012款 2.0 手动 XL火前驱,1.4,1.46,1.29,1.63,True,中,12.67,True,1-3万,>10年
启辰 R50 2013款 1.6 手动 豪华版,0.64,0.67,0.47,0.87,True,中,11.83,True,<1万,>10年
福特 福克斯两厢 2015款 1.6 自动 舒适型,1.44,1.33,1.17,1.49,True,中,10.0,True,1-3万,8-10年
荣威 RX5 2016款 1.5TGI 双离合 20T 两驱互联网智享版,2.13,1.59,1.4,1.78,False,中,8.42,True,1-3万,8-10年
别克 英朗三厢 2016款 1.5 自动 15N豪华型,1.86,1.68,1.48,1.88,True,中,8.92,True,1-3万,8-10年
铃木 奥拓 2013款 1.0 自动 豪华版,0.85,0.78,0.58,0.98,True,中,11.08,True,<1万,>10年
大众 速腾 2012款 1.6 手自一体 时尚版,2.41,1.82,1.6,2.04,False,中,11.92,True,1-3万,>10年
别克 凯越 2011款 1.6 自动 LX,0.23,0.35,0.15,0.55,True,中,13.75,True,<1万,>10年
大众 高尔夫6 2012款 1.6 手自一体 时尚版,1.2,2.09,1.61,2.0,False,差,11.75,True,1-3万,>10年
哈弗 哈弗H2 2018款 1.5T 自动 蓝标豪华型,2.73,2.12,1.9,2.32,False,中,6.83,True,1-3万,5-8年
丰田 卡罗拉 2014款 1.6 无级 GL,2.88,3.2,2.89,3.49,False,中,9.25,True,1-3万,8-10年
大众 迈腾 2017款 2.0T 自动 380TSI尊贵型,8.17,6.38,5.82,6.92,False,中,7.67,True,5-10万,5-8年
丰田 卡罗拉 2012款 1.8 自动 GL-i炫装版,1.99,1.74,1.53,1.95,False,中,12.83,True,1-3万,>10年
福特 翼虎 2015款 1.5T 自动 GTDi风尚型前驱,1.57,2.12,1.91,2.33,False,中,9.92,True,1-3万,8-10年
雪铁龙 C4L 2013款 1.6T 自动 劲享版,0.6,0.74,0.61,1.01,False,优,12.17,True,<1万,>10年
本田 CR-V 2012款 2.0 自动 Lxi都市型前驱,3.07,3.15,2.84,3.44,True,中,11.92,True,3-5万,>10年
丰田 卡罗拉 2007款 1.6 手动 GL,0.67,1.01,0.86,1.16,False,中,15.92,True,<1万,>10年
奥迪 Q5 2012款 2.0T 自动 TFSI舒适型,3.72,3.32,3.0,3.63,False,中,13.0,True,3-5万,>10年
别克 昂科威Plus 2016款 2.0T 自动 28T豪华型四驱,3.35,3.54,3.2,3.87,True,中,9.67,True,3-5万,8-10年
别克 凯越 2011款 1.6 手动 LX,0.28,0.35,0.18,0.58,True,优,12.83,True,<1万,>10年
丰田 威驰 2014款 1.5 自动 智臻版,1.27,1.36,1.2,1.52,True,中,10.5,True,1-3万,>10年
捷豹 XFL 2020款 2.0T 自动 P200精英版,12.64,11.9,12.43,13.37,True,优,4.5,True,10-20万,3-5年
现代 途胜 2015款 1.6T 自动 智能型前驱,3.92,3.33,3.01,3.64,False,中,8.42,True,3-5万,8-10年
大众 宝来三厢 2006款 1.6 自动 2V时尚型TL,0.31,0.53,0.39,0.79,False,优,18.0,True,<1万,>10年
长安 悦翔V7 2016款 1.6 手动 乐享型,0.35,0.69,0.4,0.8,False,差,8.83,True,<1万,8-10年
长安 CS55 2018款 1.5T 手动 炫色型,2.17,2.65,2.39,2.9,False,中,6.5,True,1-3万,5-8年
奇瑞 瑞虎3 2015款 1.6 手动 智尚纪念版,1.0,0.76,0.63,1.03,True,优,9.08,True,<1万,8-10年
大众 途观L 2018款 2.0T 自动 330TSI豪华版前驱,5.19,7.12,6.51,7.7,False,中,7.17,True,5-10万,5-8年
起亚 K2三厢 2017款 1.4 自动 GLS,2.44,1.78,1.57,1.99,False,中,7.83,True,1-3万,5-8年
大众 途昂 2020款 2.0T 自动 330TSI豪华版前驱 改款,9.2,12.99,12.03,13.92,False,中,4.83,True,5-10万,3-5年
雪佛兰 科鲁兹 2013款 1.6 手动 SL,0.51,0.48,0.28,0.68,True,中,11.42,True,<1万,>10年
奥迪 A4L 2010款 2.0T 自动 TFSI技术型,1.73,1.88,1.65,2.11,True,中,15.08,True,1-3万,>10年
荣威 360 2015款 1.5 自动 豪华版,0.64,0.71,0.51,0.91,True,中,10.0,True,<1万,8-10年
奥迪 A6L 2010款 2.4 自动 技术型,1.36,1.62,1.43,1.81,False,中,15.33,True,1-3万,>10年
马自达 CX-5 2015款 2.0 自动 都市型前驱,3.82,3.94,3.57,4.3,True,中,8.92,True,3-5万,8-10年
比亚迪 海鸥 2023款 飞翔版,5.22,4.32,4.53,4.94,False,优,0.92,True,5-10万,0-3年
大众 途观 2013款 1.8TSI 手自一体 两驱豪华版,2.38,2.74,2.47,2.99,False,中,11.83,True,1-3万,>10年
哈弗 哈弗H2 2016款 红标 1.5T 自动 两驱豪华型,1.57,1.58,1.39,1.77,True,中,8.83,True,1-3万,8-10年
本田 享域 2019款 1.0T 自动 180TURBO畅享版 国VI,3.3,3.41,3.08,3.73,True,中,4.33,True,3-5万,3-5年
大众 迈腾 2007款 1.8TSI 手自一体 技术版,0.53,0.55,0.28,0.68,True,差,16.75,True,<1万,>10年
哈弗 哈弗H2s 2018款 1.5T 自动 蓝标风尚型,1.33,2.3,2.07,2.52,False,中,6.58,True,1-3万,5-8年
大众 捷达 2010款 1.6 手动 CIF伙伴,1.04,0.71,0.42,0.82,False,差,12.33,True,1-3万,>10年
宝骏 730 2016款 1.5T 手动 舒适型7座,1.15,1.39,1.22,1.56,False,中,8.75,True,1-3万,8-10年
雪铁龙 世嘉-三厢 2012款 1.6 手自一体 品尚型,0.53,0.5,0.3,0.7,True,中,13.25,True,<1万,>10年
福特 锐界 2016款 2.0T 自动 EcoBoost245尊锐型7座四驱,5.49,5.04,4.58,5.48,False,中,9.0,True,5-10万,8-10年
广汽传祺 传祺GA4 2018款 1.3T 手动 200T豪华版,1.55,2.28,2.05,2.49,False,中,7.5,True,1-3万,5-8年
大众 宝来三厢 2021款 1.5 自动 时尚智联版,3.75,4.53,3.57,4.27,True,差,3.5,True,3-5万,3-5年
丰田 RAV4荣放 2019款 2.0L 自动 CVT两驱风尚版 国VI,7.58,6.72,6.14,7.28,False,中,6.5,True,5-10万,5-8年
奇瑞新能源 小蚂蚁 2018款 自动 4座智炫版,1.16,1.18,1.14,1.44,True,优,7.0,True,1-3万,5-8年
别克 君威 2015款 2.0 自动 领先时尚型,1.71,1.8,1.58,2.02,True,中,10.17,True,1-3万,>10年
日产 轩逸 2022款 1.6L 自动 XL悦享版,5.55,4.3,3.9,4.68,False,中,3.33,True,5-10万,3-5年
日产 天籁 2008款 2.5 自动 XL领先版,0.43,0.7,0.57,0.97,False,优,17.17,True,<1万,>10年
比亚迪 秦L 2024款 1.5L 自动 DM-i 120KM超越型,7.6,5.3,5.55,6.05,False,优,0.92,True,5-10万,0-3年
哈弗 哈弗H6 2016款 1.5T 手动 升级版精英型前驱,0.92,1.15,1.0,1.3,False,中,9.08,True,<1万,8-10年
奔腾 B70 2014款 2.0 自动 舒适型,0.91,0.98,0.88,1.28,True,优,9.83,True,<1万,8-10年
腾势 腾势D9 2022款 1.5T 自动 DM-i 970 四驱尊荣型,21.14,20.93,21.83,23.37,False,优,2.0,True,>20万,0-3年
大众 POLO两厢 2014款 1.6 自动 舒适版,2.59,2.24,2.01,2.45,False,中,9.67,True,1-3万,8-10年
风神 A60 2016款 1.5 手动 尊贵型,0.68,0.82,0.62,1.02,True,中,9.25,True,<1万,8-10年
吉利汽车 帝豪GS 2016款 1.3T 手动 运动版领尚型,1.52,1.42,1.25,1.59,True,中,8.83,True,1-3万,8-10年
大众 朗逸三厢 2013款 1.6 手动 经典舒适版 改款,2.0,2.2,1.97,2.41,True,中,8.33,True,1-3万,8-10年
大众 迈腾 2012款 1.8T 自动 豪华型 改款,1.82,2.06,1.59,1.96,True,差,12.42,True,1-3万,>10年
丰田 汉兰达 2015款 2.0T 自动 至尊版7座四驱,10.27,8.54,6.92,8.12,False,差,9.33,True,10-20万,8-10年
丰田 汉兰达 2018款 2.0T 自动 豪华版7座四驱,14.65,13.05,13.62,14.62,False,优,6.5,True,10-20万,5-8年
起亚 KX CROSS 2018款 1.6 自动 灵动天窗版,3.18,3.14,2.45,2.95,False,差,6.08,True,3-5万,5-8年
奔驰 A级 2020款 1.3T自动 A200L运动轿车时尚型 改款,11.53,9.59,8.82,10.32,False,中,4.58,True,10-20万,3-5年
福特 福克斯-两厢 2012款 1.6 双离合 舒适型,0.83,0.93,0.73,1.13,True,中,11.33,True,<1万,>10年
腾势 腾势D9 2024款 1.5T 自动 DM-i 980 四驱尊荣型,25.27,24.01,25.07,26.87,True,优,1.33,True,>20万,0-3年
标致 408 2016款 1.6T 自动 豪华型,1.92,1.75,1.54,1.96,True,中,8.75,True,1-3万,8-10年
日产 轩逸 2021款 1.6 自动 XL悦享版,5.82,4.26,4.47,4.88,False,优,4.58,True,5-10万,3-5年
三菱 欧蓝德 2016款 2.4 自动 精英版5座四驱,4.91,4.42,4.01,4.82,False,中,8.25,True,3-5万,8-10年
荣威 RX5 MAX 2019款 1.5T 自动 300TGI 4G互联豪华版,3.29,3.12,2.81,3.41,True,中,4.83,True,3-5万,3-5年
Jeep 自由光 2020款 2.0T 自动 领先版前驱,6.65,5.22,4.74,5.67,False,中,2.92,True,5-10万,0-3年
大众 途观 2013款 1.8T 自动 舒适版前驱,2.48,2.49,1.94,2.39,False,差,10.92,True,1-3万,>10年
丰田 凯美瑞 2015款 2.0 自动 G领先版,4.8,4.89,4.44,5.32,True,中,9.33,True,3-5万,8-10年
奥迪 Q3 2017款 1.4T 自动 30TFSI时尚型前驱,5.18,5.44,4.95,5.91,True,中,8.17,True,5-10万,8-10年
日产 骐达 2016款 1.6 自动 酷动版,3.51,3.58,3.24,3.91,True,中,6.75,True,3-5万,5-8年
大众 途观 2016款 1.8T 自动 300TSI豪华版四驱,4.21,4.04,3.66,4.4,True,中,8.5,True,3-5万,8-10年
别克 凯越 2013款 1.5 手动 经典型,1.0,0.76,0.56,0.96,False,中,10.5,True,<1万,>10年
长城 M4 2012款 1.5 手动 舒适型,0.42,0.42,0.22,0.62,True,中,12.5,True,<1万,>10年
起亚 福瑞迪 2012款 1.6 手动 GL纪念版,0.6,0.57,0.42,0.82,True,优,11.33,True,<1万,>10年
别克 君越 2018款 2.0T 自动 28T豪华型,6.3,5.83,5.31,6.33,True,中,6.58,True,5-10万,5-8年
现代 ix35 2013款 2.0 自动 GL舒适型前驱 国IV,1.58,1.63,1.43,1.83,True,中,12.25,True,1-3万,>10年
荣威 RX5 2016款 1.5TGI 双离合 20T 两驱互联网智享版,2.0,1.59,1.4,1.78,False,中,8.42,True,1-3万,8-10年
本田 雅阁 2016款 2.0 自动 舒适版,5.35,5.77,5.26,6.27,True,中,8.0,True,5-10万,5-8年
别克 君威 2017款 1.5T 自动 20T精英型,3.82,4.22,4.43,4.83,False,优,6.42,True,3-5万,5-8年
日产 轩逸 2019款 1.6 自动 经典XE+智联领先版,2.38,2.86,2.23,2.75,True,差,6.33,True,1-3万,5-8年
福特 福克斯-三厢 2012款 1.6 双离合 风尚型,0.7,0.89,0.69,1.09,True,中,11.75,True,<1万,>10年
本田 缤智 2015款 1.5 无级 两驱舒适型,3.61,3.53,3.71,4.05,False,优,9.58,True,3-5万,8-10年
日产 骐达 2008款 1.6 自动 智能型,1.6,0.99,0.79,1.19,False,中,14.92,True,1-3万,>10年
福特 福克斯三厢 2012款 1.6 自动 尊贵型,0.52,0.98,0.78,1.18,False,中,11.83,True,<1万,>10年
大众 迈腾 2012款 1.4T 自动 豪华型,1.83,2.16,1.67,2.06,True,差,12.33,True,1-3万,>10年
本田 凌派 2015款 1.8 自动 舒适版,2.46,2.51,2.26,2.75,True,中,10.92,True,1-3万,>10年
大众 高尔夫旅行版 2011款 1.4T 自动 舒适型 (进口),1.71,1.71,1.5,1.92,True,中,13.0,True,1-3万,>10年
大众 帕萨特 2014款 1.8T 自动 御尊版,3.95,2.9,2.61,3.17,False,中,10.17,True,3-5万,>10年
哈弗 哈弗F7x 2019款 1.5T 自动 极智科技版,3.8,3.31,2.99,3.61,False,中,5.75,True,3-5万,5-8年
英菲尼迪 Q50L 2016款 2.0T 手自一体 悦享版,3.85,5.12,4.06,4.83,False,差,8.5,True,3-5万,8-10年
丰田 RAV4 2011款 2.4 自动 豪华版,3.23,3.1,3.26,3.57,False,优,12.92,True,3-5万,>10年
雪佛兰 科沃兹 2016款 1.5 手动 欣悦版,1.41,1.74,1.53,1.95,False,中,7.5,True,1-3万,5-8年
雪佛兰 科鲁泽 2019款 1.3T 自动 RS 330T痛快版,2.57,2.48,2.23,2.71,True,中,5.42,True,1-3万,5-8年
日产 轩逸 2020款 1.6 自动 XL悦享版,3.88,4.4,3.47,4.15,True,差,5.83,True,3-5万,5-8年
大众 速腾 2012款 1.6 手动 舒适型,1.28,1.58,1.19,1.57,True,差,12.33,True,1-3万,>10年
丰田 锐志 2008款 2.5 自动 S特别导航版,2.65,2.24,2.02,2.46,False,中,14.92,True,1-3万,>10年
标致 4008 2017款 1.8T 自动 380THP豪华版,2.97,3.23,2.92,3.53,True,中,8.42,True,1-3万,8-10年
现代 索纳塔 2014款 2.0 自动 GLX豪华版,2.5,1.81,1.59,2.03,False,中,10.67,True,1-3万,>10年
MINI MINI 2014款 1.5T 自动 COOPER Fun (进口),3.56,3.93,3.56,4.29,True,中,11.08,True,3-5万,>10年
吉利汽车 帝豪GSe 2019款 600尊尚型 纯电动,4.1,3.58,3.24,3.91,False,中,5.25,True,3-5万,5-8年
大众 捷达 2015款 1.6 自动 质惠版时尚型,1.95,1.62,1.43,1.81,False,中,8.83,True,1-3万,8-10年
本田 CR-V 2010款 2.0 自动 Lxi都市型前驱,1.68,1.57,1.18,1.56,False,差,15.08,True,1-3万,>10年
大众 POLO 2016款 1.4 手动 风尚型,2.15,2.59,2.33,2.83,False,中,7.25,True,1-3万,5-8年
本田 雅阁 2015款 2.4 自动 豪华版EX,4.08,4.74,3.75,4.47,True,差,9.67,True,3-5万,8-10年
日产 轩逸经典 2021款 1.6 无级 XE 舒适版,4.05,3.91,3.54,4.27,True,中,4.25,True,3-5万,3-5年
大众 朗逸 2013款 1.6 手动 风尚版(改款),0.93,1.1,0.95,1.25,False,中,12.17,True,<1万,>10年
宝骏 510 2017款 1.5 自动 时尚型,1.58,1.39,1.36,1.7,True,优,7.92,True,1-3万,5-8年
大众 POLO两厢 2014款 1.4 手动 风尚版,1.82,1.91,1.68,2.14,True,中,9.5,True,1-3万,8-10年
大众 途岳 2022款 1.4TSI 双离合 280TSI 两驱舒适版,9.0,8.25,7.57,8.9,False,中,1.83,True,5-10万,0-3年
丰田 汉兰达 2015款 2.0T 自动 豪华版7座前驱,8.5,8.97,9.38,10.13,False,优,9.42,True,5-10万,8-10年
奥迪 Q3 2015款 1.4TFSI 双离合 30TFSI 舒适型,3.95,4.04,3.66,4.4,True,中,10.42,True,3-5万,>10年
荣威 i6 MAX新能源 2020款 1.5T 自动 PHEV爽酷天幕版,3.3,2.71,2.74,3.18,False,优,4.5,True,3-5万,3-5年
现代 第八代索纳塔 2013款 2.0 手自一体 豪华型,1.02,1.42,1.25,1.59,False,中,11.75,True,1-3万,>10年
凯迪拉克 XTS 2015款 2.0T 自动 28T舒适型,3.38,3.41,3.08,3.73,True,中,10.42,True,3-5万,>10年
大众 速腾 2012款 1.6 手动 时尚版,1.31,1.35,1.19,1.51,True,中,12.25,True,1-3万,>10年
福特 福睿斯 2015款 1.5 自动 时尚型,1.81,1.67,1.62,2.02,True,优,8.75,True,1-3万,8-10年
标致 408 2015款 1.2T 自动 豪华版,0.9,1.42,1.25,1.59,False,中,9.17,True,<1万,8-10年
大众 宝来三厢 2013款 1.6 手动 舒适型,1.32,1.31,1.15,1.47,True,中,12.0,True,1-3万,>10年
日产 天籁 2011款 2.0 自动 XL舒适版,2.3,1.81,1.59,2.03,False,中,13.0,True,1-3万,>10年
现代 新胜达 2015款 2.0T 手自一体 GLS 四驱智能型5座,2.3,3.08,2.78,3.37,False,中,9.67,True,1-3万,8-10年
